val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.29963,-4.7,0.29663,-0.001209,0.399131,18.8,0.401944,0.00567,0.310817,80,0.312442,0.030817,0.511133,469.1,0.202128,0.134639,62.3,24,2018-09-03T00:07:30.084+00:00,scs-bgb-413
0.299755,-4.7,0.296692,-0.001199,0.399131,18.2,0.401881,0.00551,0.310755,79.9,0.31238,0.030755,0.511445,472.7,0.202753,0.135664,62.3,24,2018-09-03T00:07:40.080+00:00,scs-bgb-413
0.299817,-4.4,0.296692,-0.001136,0.399131,18,0.401881,0.005438,0.31063,79.6,0.31238,0.03063,0.512508,474.9,0.202378,0.136299,62.4,24,2018-09-03T00:07:50.082+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399256,19.2,0.401944,0.005795,0.310692,79.7,0.31238,0.030692,0.512883,477,0.202566,0.136888,62.4,24,2018-09-03T00:08:00.083+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310817,80,0.31238,0.030817,0.512508,475.2,0.202441,0.13637,62.4,24,2018-09-03T00:08:10.079+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399131,18.8,0.401944,0.00567,0.310692,79.7,0.312317,0.030692,0.511258,468.3,0.201816,0.134408,62.4,24,2018-09-03T00:08:20.088+00:00,scs-bgb-413
0.299755,-4.7,0.296692,-0.001199,0.399131,18.2,0.401881,0.00551,0.31088,80.2,0.31238,0.03088,0.51182,472.5,0.202378,0.135611,62.4,24,2018-09-03T00:08:30.068+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.1,0.401881,0.005462,0.311005,80.5,0.312567,0.031005,0.512383,475.5,0.202628,0.136459,62.4,24,2018-09-03T00:08:40.078+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,18.5,0.401881,0.005573,0.310942,80.4,0.312567,0.030942,0.511945,473.7,0.202566,0.13595,62.4,24,2018-09-03T00:08:50.067+00:00,scs-bgb-413
0.29963,-5.2,0.296692,-0.001324,0.399131,19.2,0.401944,0.00579,0.310755,79.9,0.312317,0.030755,0.510883,465.3,0.201378,0.133534,62.4,24,2018-09-03T00:09:00.079+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.6,0.401944,0.005622,0.310755,79.9,0.312442,0.030755,0.51182,471.3,0.202066,0.135255,62.4,24,2018-09-03T00:09:10.069+00:00,scs-bgb-413
0.299817,-4.4,0.296692,-0.001136,0.399194,18.2,0.401881,0.005501,0.310755,79.9,0.31238,0.030755,0.51282,476,0.202378,0.136611,62.4,24,2018-09-03T00:09:20.080+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399256,19.2,0.401944,0.005795,0.31088,80.2,0.312442,0.03088,0.512383,474.7,0.202441,0.136245,62.4,24,2018-09-03T00:09:30.078+00:00,scs-bgb-413
